Tous les articles (sauf vulgarisation)
Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Lieu de publication;Editeur revue;Pages;Titre conférence;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;NNT;URL;DOI;Pubmed;Référence locale;ArXiv;Description;Voir aussi;Fait référence à;Réf. HAL;ANR associated funding;EU associated funding;Rang HCERES (Economie-Gestion);Rang HCERES (Toutes disciplines);Rang CNRS;Commentaire;Référence interne
Dardier G., Jabot F., L'Her G., Servières M.;2020;;Recherche sur une initiative de métrologie citoyenne de la qualité de l’air : le projet CapCi à Rennes;Environnement, Risques and Santé;;19;6;;;;;;417-422;;;;;;;;;;;;;;;;;;10.1684/ers.2020.1483;;;;;;;hal-03094976;;;;;;;
Devisme L., Gourvennec E., Padilla M.;2020;;La condition grisante de la Cifre : entretien avec Estelle Gourvennec et Mathilde Padilla, doctorantes Cifre;Les Cahiers de la recherche architecturale, urbaine et paysagère;;;;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/craup/3057#quotation;10.4000/craup.3057;;;;;;;halshs-03234360;;;;;;;
En-Nejjari M., Requena-Ruiz I., Siret D.;2020;;La plage urbaine spontanée, une nouvelle forme d’appropriation oisive de l’espace public;Les Cahiers de la recherche architecturale, urbaine et paysagère;;;;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/craup/3647;10.4000/craup.3647;;;;;;;halshs-02900430;;;;;;;
Gao Y.*, Peillard E., Normand J.-M., Moreau G., Liu Y.*, Wang Y.;2020;;Influence of virtual objects' shadows and lighting coherence on distance perception in optical see‐through augmented reality;Journal of the Society for Information Display;;28;2;;;;;;117-135;;;;;;;;;;;;;;;;;;10.1002/jsid.832;;;;;;;hal-02200576;;;;;;;
Gero J., Milovanovic J.;2020;;A framework for studying design thinking through measuring designers’ minds, bodies and brains;Design Science;;6;;;;;;;;;;;;;;;;;;;;;;;;https://www.cambridge.org/core/journals/design-science/article/framework-for-studying-design-thinking-through-measuring-designers-minds-bodies-and-brains/04EC7F5384E423992E61CC8C65EA355F#;10.1017/dsj.2020.15;;;;;;;hal-02898072;;;;;;;
Goussanou R.;2020;;Visites touristiques et détournements du passé sur la Route de l’esclave à Ouidah;Ethnologie française;;N°177;1;;;;;;65;;;;;;;;;;;;;;;;;http://www.ethnologie-francaise.fr/article/?article=ETHN_201_0065;10.3917/ethn.201.0065;;;;;;;hal-02986884;;;;;;;
Hadbi R.;2020;;Révéler ce qui fait patrimoine pour penser le renouvellement urbain des cités d’habitations à bon marché de Grenoble;Les Cahiers de la recherche architecturale, urbaine et paysagère;;;8;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/craup/4606;10.4000/craup.4606;;;;;;;hal-03273481;;;;;;;
Laffont C., Padilla M., Junquera R., Balaÿ O.;2020;;Le prototype pour faire-recherche en agence d’architecture;Le Philotope;;;14;;;;;;35‑44;;;;;;;;;;;;;;;;;https://www.philau.archi.fr/tagged/lephilotope;;;;;;;;hal-03283207;;;;;;;
Leduc T., Leduc M.;2020;;Minimum-area ellipse bounding an isovist: towards a 2D GIS-based efficient implementation;International Journal of Geographical Information Science;;;;;;;;;1-24;;;;;;;;;;;;;;;;;https://www.tandfonline.com/doi/abs/10.1080/13658816.2020.1800017?journalCode=tgis20;10.1080/13658816.2020.1800017;;;;;;;hal-02916059;;;;;;;
Leduc T., Hartwell K.;2020;;The automatic classification of urban open space by a pattern-matching method of the viewshed at intersections;Environment and Planning B: Urban Analytics and City Science;;47;6;;;;;;1065-1080;;;;;;;;;;;;;;;;;https://journals.sagepub.com/doi/10.1177/2399808318816994;10.1177/2399808318816994;;;;;;;hal-01945663;;;;;;;
Lescop L.;2020;;Enseignement de l’architecture : pratiques à inventer;Bulletin de la Société Française des Architectes;;;56;;;;;;59-63;;;;;;;;;;;;;;;;;https://sfarchi.org/wp-content/uploads/Bulletin-56-lenseignement-du-projet-en-danger.pdf;;;;;;;;hal-02648646;;;;;;;
Lescop L., Geneste J.-M., Marquet M., Yvin V., Gérard P., Magontier P.;2020;;Les enjeux de la narration dans l’immersion 3D archéologique;In Situ : Revue des patrimoines;;;42;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/insitu/27623?lang=fr;10.4000/insitu.27623;;;;;;;hal-02874766;;;;;;;
Lescop L.;2020;;Vers une grammaire narrative à 360° : Ou comment la construction d’un décor réel vient dynamiser les questionnements théoriques;Entrelacs;;;;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/entrelacs/5912;;;;;;;;hal-02886073;;;;;;;
Lombart C.*, Millan E., Normand J.-M., Verhulst A., Labbé-Pinlon B., Moreau G.;2020;;Effects of physical, non-immersive virtual, and immersive virtual store environments on consumers' perceptions and purchase behavior;Computers in Human Behavior;;110;;;;;;;1-36;;;;;;;;;;;;;;;;;;10.1016/j.chb.2020.106374;;;;;;;hal-02551772;;;;;;;
Milovanovic J., Gero J.;2020;;Modeling design studio pedagogy: A mentored reflective practice;Proceedings of the Design Society: DESIGN Conference;;1;;;;;;;1765-1774;;;;;;;;;;;;;;;;;https://www.cambridge.org/core/journals/proceedings-of-the-design-society-design-conference/article/modeling-design-studio-pedagogy-a-mentored-reflective-practice/9A87F7845BA334E555C99DE73F42C3B4#;10.1017/dsd.2020.118;;;;;;;hal-02872397;;;;;;;
Öztürk Ü.;2020;;Vulnérabilité et résistance des bostan (jardins potagers) millénaires d’Istanbul;revue Urbanités;;;;;;;;;https://www.revue-urbanites.fr/vm-ozturk/;;;;;;;;;;;;;;;;;https://www.revue-urbanites.fr/vm-edito/;;;;;;;;hal-02555741;;;;;;;
Said N. G.;2020;;Sonic Affordances of a Sacred Spring. The Urban Courtyard as a Figure of Rehabilitation of the Medina;Journal of Sonic Studies;;;;;;;;;https://www.researchcatalogue.net/view/978902/978903;;;;;;;;;;;;;;;;;;;;;;;;;hal-02998784;;;;;;;
Semaan B., Servières M., Moreau G., Chebaro B.;2020;;Camera Pose Estimation Using Collaborative Databases and Single Building Image;Journal of Geographic Information System;;12;06;;;;;;620-645;;;;;;;;;;;;;;;;;https://www.scirp.org/journal/paperinformation.aspx?paperid=104538;10.4236/jgis.2020.126036;;;;;;;hal-03060116;;;;;;;
Shealy T., Gero J., Hu M., Milovanovic J.;2020;;Concept generation techniques change patterns of brain activation during engineering design;Design Science;;6;;;;;;;;;;;;;;;;;;;;;;;;https://www.cambridge.org/core/journals/design-science/article/concept-generation-techniques-change-patterns-of-brain-activation-during-engineering-design/6EB7DDE9515DC0E52FC5E1CAE1DEDB05#;10.1017/dsj.2020.30;;;;;;;hal-03039827;;;;;;;
Siret D.;2020;;Entre science, création et société;Culture et recherche;;;140;;;;;;p. 62-63;;;;;;;;;;;;;;;;;https://www.culture.gouv.fr/Sites-thematiques/Enseignement-superieur-et-Recherche/La-revue-Culture-et-Recherche/Recherche-culturelle-et-sciences-participatives;;;;;;;;hal-02490339;;;;;;;
Spur M., Tourre V., David E., Moreau G., Le Callet P.;2020;;Exploring Multiple and Coordinated Views for Multilayered Geospatial Data in Virtual Reality;Information;;11;9;;;;;;425;;;;;;;;;;;;;;;;;;10.3390/info11090425;;;;;;;hal-02931923;;;;;;;
Spur M., Tourre V., Houel N.;2020;;Visualizing multilayered geospatial data in virtual reality to access public lighting;International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences;;XLIII-B4-2020;;;;;;;623-630;;;;;;;;;;;;;;;;;https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLIII-B4-2020/623/2020/;10.5194/isprs-archives-XLIII-B4-2020-623-2020;;;;;;;hal-02932206;;;;;;;
Thibaud J.-P., Provost S.;2020;;Jean-François Augoyard, an explorer of the sensory world;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/ambiances/3126;10.4000/ambiances.3126;;;;;;;hal-02568176;;;;;;;
Thomas R.;2020;;Les mises en ambiance de la ville apaisée. Paradoxes et risques d'une aseptisation programmée;Géo-Regards;;Varia;13;;;;;;179-194;;;;;;;;;;;;;;;;;https://www.alphil.com/index.php/alphil-revues/geo-regards-1/geo-regards-n-13-2020.html;;;;;;;;hal-03174902;;;;;;;
Tsoka S., Leduc T., Rodler A.;2020;;Assessing the effects of urban street trees on building cooling energy needs: the role of foliage density and planting pattern;Sustainable Cities and Society;;;;;;;;;102633;;;;;;;;;;;;;;;;;https://www.sciencedirect.com/science/article/abs/pii/S2210670720308507?via%3Dihub;10.1016/j.scs.2020.102633;;;;;;;hal-03046054;;;;;;;
Balez S.;2019;;Enjeux éthiques des emprises olfactives et infraolfactives du conditionnement de l’air;Les Cahiers de la recherche architecturale, urbaine et paysagère;;;6;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/craup/2564;;;;;;;;hal-03244561;;;;;;;
Bataille N.;2019;;Dans l’ombre de la décision : les fonctions multiples des rapports d’études dans la délégation marchande de l’expertise en politiques urbaines;Revue internationale de politique comparée;;26;4;;;;;;83-107;;;;;;;;;;;;;;;;;;10.3917/ripc.264.0083;;;;;;;hal-03007006;;;;;;;
Bataille N., Lacroix G.;2019;;Standardisation de la conception et sur mesure organisationnel : la sous-traitance de l’ingénierie urbaine;Les Annales de la Recherche Urbaine;;;113;;;;;;24-35;;;;;;;;;;;;;;;;;http://www.annalesdelarechercheurbaine.fr/standardisation-de-la-conception-et-sur-mesure-a764.html;10.3406/aru.2018.3270;;;;;;;halshs-02103422;;;;;;;
Bizien L., Gaillard B., Bastard J., Van Effenterre M., Acquier F., Serlet, M., Fort P., Hattet V.;2019;;Les fonds de recherche dans les écoles d'architecture : une politique documentaire en construction;HEnsA20 : histoire de l'enseignement de l'architecture au 20e siècle;;cahier 6;;;;;;;29-34;;;;;;;;;;;;;;;;;https://www.calameo.com/read/0053751149864bab6547b;;;;;;;;hal-02124020;;;;;;;
Bonicco-Donato C.;2019;;Comment réconcilier la ville et la cité ?;Métropolitiques.eu;;;;;;;;;https://www.metropolitiques.eu/Comment-reconcilier-la-ville-et-la-cite.html;;;;;;;;;;;;;;;;;;;;;;;;;hal-02543565;;;;;;;
Bonicco-Donato C.;2019;;De l'aura à l'atmosphère. Penser la dimension politique des paysages urbains avec Walter Benjamin;Cahiers Philosophiques de Strasbourg;;;46;;;;;;http://journals.openedition.org/cps/3251;;;;;;;;;;;;;;;;;;10.4000/cps.3251;;;;;;;hal-02397480;;;;;;;
Bossé A., Fort-Jacques T.;2019;;L’emprise des techniques ? Penser l’expérience urbaine conditionnée à partir du cinéma;Les Cahiers de la recherche architecturale, urbaine et paysagère;;;6;;;;;;;;;;;;;;;;;;;;;;;http://journals.openedition.org/craup/2966;10.4000/craup.2966;;;;;;;hal-02439177;;;;;;;
Bossé A.;2019;;Suivre les morts: ressorts et portée d’une expérience d’enquête multi-située;Espaces et sociétés (Paris, France);;n°178;3;;;;;;89-101;;;;;;;;;;;;;;;;;;10.3917/esp.178.0089;;;;;;;hal-02506597;;;;;;;
Boudhraâ S., Dorta T., Milovanovic J., Pierini D.;2019;;Co-ideation critique unfolded: an exploratory study of a co-design studio ‘crit’ based on the students’ experience;CoDesign;;;;;;;;;1-20;;;;;;;;;;;;;;;;;;10.1080/15710882.2019.1572765;;;;;;;hal-02083897;;;;;;;
Boullier D., Gilbert J. A., Vignon D., Khatchatourov A.;2019;;Le grand entretien avec Dominique Boullier;Etudes digitales;;;7;;;;;;243-274;;;;;;;;;;;;;;;;;https://classiques-garnier.com/etudes-digitales-2019-1-n-7-youtoubeurs-youtubeuses-inventions-subjectives-le-grand-entretien-avec-dominique-boullier.html;10.15122/isbn.978-2-406-10419-3.p.0243;;;;;;;hal-02586062;;;;;;;
Breviglieri M.;2019;;Lisbonne, 21e siècle. Vers un nouvel espace référentiel du centre urbain : emprise marchande, aménagement certifié, libéralisme multiculturel;EspacesTemps.net;;;;;;;;;https://www.espacestemps.net/en/articles/lisbonne-21e-siecle/;;;;;;;;;;;;;;;;;https://www.espacestemps.net;;;;;;;;hal-03156551;;;;;;;
Brown L., Gerbeaud F., Manola T., D'Emilio L., Dris Y.;2019;;Qui sont les Jeunes Ramau ? Trajectoires, profils et positionnements;Cahiers RAMAU;;;10;;;;;;208-225;;;;;;;;;;;;;;;;;https://www.unitheque.com/cahiers-ramau-n%C2%B0-ramau-vingt-ans-recherches.-sur-fabrication-ville/de-villette/Livre/246433;;;;;;;;hal-03250005;;;;;;;
Chesnel K.;2019;;Imaginer l'habitat périurbain de demain;Place Publique;;;72;;;;;;120-129;;;;;;;;;;;;;;;;;http://www.revue-placepublique.fr/Sommaires/Sommaires/Sommaire72.html;;;;;;;;hal-02473018;;;;;;;
Gao Y., Liu Y., Normand J.-M., Moreau G., Gao X., Wang Y.;2019;;A study on differences in human perception between a real and an AR scene viewed in an OST-HMD;Journal of the Society for Information Display;;;;;;;;;1-17;;;;;;;;;;;;;;;;;;10.1002/jsid.752;;;;;;;hal-01987255;;;;;;;
Gero J., Milovanovic J.;2019;;The situated function-behavior-structure co-design model;CoDesign;;;;;;;;;1-26;;;;;;;;;;;;;;;;;;10.1080/15710882.2019.1654524;;;;;;;hal-02273787;;;;;;;
Gerolymatou G., Rémy N., Vogiatzis K., Zafiropoulou V.;2019;;Assessing Health Effects and Soundscape Analysis as New Mitigation Actions Concerning the Aircraft Noise Impact in Small- and Middle-Size Urban Areas in Greece;Interactive Learning Environments;;6;1;;;;;;4;;;;;;;;;;;;;;;;;;10.3390/environments6010004;;;;;;;halshs-01982869;;;;;;;
Houel N., Joly D., Lescop L.;2019;;Perceptions of the nocturnal public space and technological innovations − citizen evaluation of a smart public lighting installation in Nantes;SHS Web of Conferences;;64;;;;;;;02003;;;;;;;;;;;;;;;;;https://www.shs-conferences.org/articles/shsconf/abs/2019/05/shsconf_eaea142019_02003/shsconf_eaea142019_02003.html;10.1051/shsconf/20196402003;;;;;;;hal-02288694;;;;;;;
Laroche S., Tixier N.;2019;;L’eau dans les paysages de l’énergie. Le cas de la presqu’île de Grenoble;Projets de paysage : revue scientifique sur la conception et l'aménagement de l'espace;;;20;;;;;;;;;;;;;;;;;;;;;;;https://www.projetsdepaysage.fr/fr/l_eau_dans_les_paysages_de_l_nergie;;;;;;;;hal-02102493;;;;;;;
Lescop L., Kępczyńska-Walczak A.;2019;;Envisioning ambiances: Representing (past,present and future) atmospheres for architecture and the built environment;SHS Web of Conferences;;64;;;;;;;00002;;;;;;;;;;;;;;;;;https://www.shs-conferences.org/articles/shsconf/abs/2019/05/shsconf_eaea142019_00002/shsconf_eaea142019_00002.html;10.1051/shsconf/20196400002;;;;;;;hal-02288693;;;;;;;
Lescop L.;2019;;Topologies de l’immersion - Études digitales;Etudes digitales;;;4;;;;;;21-52;;;;;;;;;;;;;;;;;https://classiques-garnier.com/etudes-digitales-2017-2-n-4-immersion-topologies-de-l-immersion.html;10.15122/isbn.978-2-406-09288-9;;;;;;;hal-02281133;;;;;;;
Lombart C., Labbé-Pinlon B., Normand J.-M., Verhulst A., Moreau G.;2019;;Comment les consommateurs réagissent-ils, en situation d’achat, face à des fruits et légumes difformes ? Premiers résultats d’une étude menée en magasin laboratoire virtuel immersif;Revue de l'Organisation Responsable;;14;1;;;;;;50;;;;;;;;;;;;;;;;;;10.3917/ror.141.0050;;;;;;;hal-02556606;;;;;;;
Lombart C.*, Millan E., Normand J.-M., Verhulst A., Labbé-Pinlon B., Moreau G.;2019;;Consumer perceptions and purchase behavior toward imperfect fruits and vegetables in an immersive virtual reality grocery store;Journal of Retailing and Consumer Services;;48;;;;;;;28-40;;;;;;;;;;;;;;;;;;10.1016/j.jretconser.2019.01.010;;;;;;;hal-01995916;;;;;;;
L'Her G., Servières M., Siret D.;2019;;Citizen as Sensors' Commitment in Urban Public Action;International Journal of E-Planning Research;;8;4;;;;;;42-59;;;;;;;;;;;;;;;;;https://www.igi-global.com/gateway/article/239855;10.4018/IJEPR.2019100103;;;;;;;hal-02320109;;;;;;;
Rodler A., Leduc T.;2019;;Local climate zone approach on local and micro scales: Dividing the urban open space;Urban Climate;;28;;;;;;;100457;;;;;;;;;;;;;;;;;https://www.sciencedirect.com/science/article/abs/pii/S2212095518303353?via%3Dihub;10.1016/j.uclim.2019.100457;;;;;;;hal-02086327;;;;;;;
Siret D., Requena-Ruiz I.;2019;;Architectures des milieux hyper-conditionnés : Introduction au dossier thématique n°6 des Cahiers de la recherche architecturale urbaine et paysagère;Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine;;;6;;;;;;;;;;;;;;;;;;;;;;;http://journals.openedition.org/craup/3036;;;;;;;;halshs-02423016;;;;;;;
Thibaud J.-P.;2019;;Vers une climatique du littoral. Une ethnographie sensible au milieu ambiant;VertigO : La Revue Électronique en Sciences de l'Environnement;;;;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/vertigo/;;;;;;;;halshs-02181957;;;;;;;
Thiollière P.;2019;;Au contact de nos morts. Ambiances et mises en gestes d’un territoire flou;Géographie et cultures;;;110;;;;;;139-157;;;;;;;;;;;;;;;;;https://journals.openedition.org/gc/12327#article-12327;10.4000/gc.12327;;;;;;;hal-03248350;;;;;;;
Thomas R.;2019;;Rythmes ambiants, rythmes de marche;EspacesTemps.net;;;;;;;;;https://www.espacestemps.net/articles/rythmes-ambiants-rythmes-de-marche/;;;;;;;;;;;;;;;;;https://www.espacestemps.net/;;;;;;;;hal-02158020;;;;;;;
Toussaint M.;2019;;« Vous prenez quoi en photo là ? » Une approche du quotidien de la rénovation urbaine;EspacesTemps.net;;;;;;;;;https://www.espacestemps.net/articles/vous-prenez-quoi-en-photo-la/;;;;;;;;;;;;;;;;;https://www.espacestemps.net/;10.26151/espacestemps.net-87y1-es59;;;;;;;halshs-02298341;;;;;;;
Ambrosino C., Buyck J.;2018;;The Mountain Metropolis’s Land Design Project. Grenoble, from Plain to Slope;Revue de Géographie Alpine / Journal of Alpine Research;;106;2;;;;;;1-16;;;;;;;;;;;;;;;;;;10.4000/rga.4088;;;;;;;hal-01995848;;;;;;;
Antigny N., Servieres M., Renaudin V.;2018;;Fusion of 3D GIS, Vision, Inertial and Magnetic Data for Improved Urban Pedestrian Navigation and Augmented Reality Applications;Navigation;;;;;;;;;;;;;;;;;;;;;;;;;;;10.1002/navi.254;;;;;;;hal-01896361;;;;;;;
Azam M.-H., Bernard J., Morille B., Musy M., Andrieu H.;2018;;A pavement-watering thermal model for SOLENE-microclimat: development and evaluation;Urban Climate;;25;;;;;;;22-36;;;;;;;;;;;;;;;;;;10.1016/j.uclim.2018.04.005;;;;;;;hal-01790917;;;;;;;
Balaÿ O.;2018;;L’oasis urbaine ou l’ambiance diastématique de la ville;Sonorités;;;;;;;;;63‑76;;;;;;;;;;;;;;;;;;;;;;;;;hal-03283198;;;;;;;
Bancilhon J., Tixier N., Zejgman-Lecarme P.;2018;;Des villes, des cinémas, des ambiances : Trois applications numériques et contributives pour explorer les rapports entre la ville et le cinéma;Journal of Film Preservation;;;99;;;;;;p. 119-125;;;;;;;;;;;;;;;;;https://www.fiafnet.org/pages/Publications/JFP-Archive.html;;;;;;;;hal-01847696;;;;;;;
Bernard J., Rodler A., Morille B., Zhang X.;2018;;How to Design a Park and Its Surrounding Urban Morphology to Optimize the Spreading of Cool Air?;Climate;;6;1;;;;;;;;;;;;;;;;;;;;;;;;10.3390/cli6010010;;;;;;;hal-01706788;;;;;;;
Blanc N., Barbe F.;2018;;Des formes environnementales en aménagement urbain : d’une perspective théorique aux études de cas;Crossways Journal;;2;1;;;;;;1-13;;;;;;;;;;;;;;;;;;;;;;;;;halshs-02189179;;;;;;;
Blanc N., Barbe F.;2018;;Environmental forms, from a theoretical perspective to concrete case studies in urban planning;RUUKKU Studies in Artistic Research;;9;;;;;;;;;;;;;;;;;;;;;;;;http://ruukku-journal.fi/;10.22501/ruu.371052;;;;;;;halshs-02185436;;;;;;;
Bonicco-Donato C.;2018;;Cadres théoriques et sciences humaines : quelles leçons épistémologiques pour l'urbanisme et l'aménagement?;Revue Europeenne des Sciences Sociales;;;56-1;;;;;;181-201;;;;;;;;;;;;;;;;;https://journals.openedition.org/ress/3975;10.4000/ress.4033;;;;;;;hal-02527821;;;;;;;
Boumoud H., Gwiazdzinski L.;2018;;L'analyse vidéo au service du wayfinding dans les environnements complexes : une première approche de la désorientation dans les grandes gares contemporaines;NETCOM : Réseaux, communication et territoires / Networks and Communications Studies;;;;;;;;;1-26;;;;;;;;;;;;;;;;;https://journals.openedition.org/netcom/2829;;;;;;;;halshs-01811233;;;;;;;
Brayer L.;2018;;Une perception indécise : L'esthétique atmosphérique de Cemetery of Splendour d'Apichatpong Weerasethakul;La Furia Umana;;;;;;;;;;;;;;;;;;;;;;;;;;http://www.lafuriaumana.it/index.php/67-archive/lfu-34/794-laure-brayer-une-perception-indecise-l-esthetique-atmospherique-de-cemetery-of-splendour-d-apichatpong-weerasethakul;;;;;;;;hal-02447045;;;;;;;
Breviglieri M.;2018;;L’affadissement des villes méditerranéennes et la désacralisation de la figure de l’hôte;SociologieS;;;;;;;;;http://journals.openedition.org/sociologies/6821;;;;;;;;;;;;;;;;;https://journals.openedition.org/sociologies/;;;;;;;;hal-03156566;;;;;;;
Buyck J., Martin S., Prevot M., Romano F.;2018;;Genèse des formations en urbanisme en France : Grenoble un “laboratoire urbain” pas comme les autres ?;Territoire en mouvement.Revue de Géographie et d'Aménagement;;;39-40;;;;;;1-25;;;;;;;;;;;;;;;;;;10.4000/tem.4773;;;;;;;hal-01995855;;;;;;;
Cassen S.*, Grimaud V., Lescop L., Petit C., Robin G.;2018;;Recent Excavation and Recording at the New Neolithic Rock Art Site of Vallée Aux Noirs, Buthiers (Seine-et-Marne, France);Oxford Journal of Archaeology;;37;2;;;;;;119-135;;;;;;;;;;;;;;;;;;10.1111/ojoa.12133;;;;;;;hal-01869312;;;;;;;
Cassen S.*, Grimaud V., Lescop L., Paitier H., Rodríguez-Rellán C., Vincotte A.;2018;;The ‘Historiated’ Neolithic Stele of Saint-Samson-sur-Rance (Côtes-d'Armor, France);Cambridge Archaeological Journal;;28;02;;;;;;259-281;;;;;;;;;;;;;;;;;;10.1017/S0959774317000853;;;;;;;hal-01933083;;;;;;;
Dang Vu H., Devisme L.;2018;;Une formation en urbanisme sans institut, and so what ? Réflexion à partir d’un éternel horizon nantais;Territoire en mouvement.Revue de Géographie et d'Aménagement;;;39-40;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/tem/4661#quotation;10.4000/tem.4661;;;;;;;hal-02426685;;;;;;;
Devisme L.;2018;;Les aventures insoupçonnées de la thèse en alternance : entretien avec Claude Maillère et Matthieu Nédonchelle, référents CIFRE de thèses en cours;Les Cahiers de la recherche architecturale, urbaine et paysagère;;;;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/craup/370#quotation;10.4000/craup.370;;;;;;;hal-02426681;;;;;;;
Goussanou R.;2018;;La « Route de l'esclave » de Ouidah (Bénin) : espace de négociation des mémoires collectives des traites négrières et de l'esclavage;Cahiers Mémoire et Politique;;;5;;;;;;111-129;;;;;;;;;;;;;;;;;https://popups.uliege.be/2295-0311/index.php?id=201;;;;;;;;hal-01826345;;;;;;;
Labat T., Vigne M.;2018;;Notre-Dame-des-Landes. Expériences du commun;Les Carnets du paysage;;;33;;;;;;152-169;;;;;;;;;;;;;;;;;https://www.actes-sud.fr/node/63824;;;;;;;;hal-02498190;;;;;;;
